epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.294,0.99263,0.64777,0.96445,0.71834,0.72099,0.75355,0.51253,0.99981,0.65405,0.99629,0.000255748,0.000255748,0.000255748
2,225.503,1.00573,0.66168,0.96868,0.70319,0.68007,0.73565,0.49028,1.03431,0.67293,1.00254,0.000495183,0.000495183,0.000495183
3,335.28,1.02222,0.67983,0.97412,0.70143,0.6994,0.7409,0.4866,1.04681,0.69192,1.00785,0.000717699,0.000717699,0.000717699
4,444.692,1.02395,0.67796,0.97384,0.72308,0.66426,0.72171,0.48004,1.01671,0.67566,1.00241,0.000692869,0.000692869,0.000692869
5,554.094,1.0074,0.66022,0.96849,0.75925,0.68453,0.73442,0.49036,0.9999,0.6511,0.99318,0.000667492,0.000667492,0.000667492
6,663.72,0.99126,0.64451,0.96201,0.83244,0.65463,0.76758,0.51717,0.9913,0.64463,0.99188,0.000642115,0.000642115,0.000642115
7,772.88,0.97623,0.62922,0.95967,0.76216,0.70389,0.76774,0.51496,0.98088,0.64036,0.99076,0.000616738,0.000616738,0.000616738
8,882.402,0.96119,0.61529,0.95277,0.80007,0.72601,0.78405,0.53177,0.97694,0.62106,0.98433,0.000591361,0.000591361,0.000591361
9,991.879,0.9633,0.61646,0.95318,0.76539,0.72403,0.7856,0.54081,0.95538,0.61214,0.97774,0.000565984,0.000565984,0.000565984
10,1101,0.95978,0.61059,0.95233,0.78835,0.70387,0.78161,0.53498,0.95027,0.61063,0.97407,0.000540607,0.000540607,0.000540607
11,1210.39,0.94612,0.60061,0.94674,0.80377,0.72348,0.794,0.5523,0.93454,0.60025,0.9723,0.00051523,0.00051523,0.00051523
12,1320.08,0.93386,0.58856,0.94317,0.79633,0.73381,0.79965,0.55237,0.93288,0.59179,0.96742,0.000489853,0.000489853,0.000489853
13,1429.7,0.9229,0.57723,0.93868,0.8465,0.70931,0.80072,0.56828,0.92259,0.5836,0.96193,0.000464476,0.000464476,0.000464476
14,1539.09,0.90931,0.56919,0.93463,0.82578,0.72681,0.80892,0.56819,0.90381,0.56686,0.96071,0.000439099,0.000439099,0.000439099
15,1648.89,0.8925,0.55785,0.92677,0.80806,0.7439,0.80861,0.56846,0.90477,0.56292,0.95475,0.000413722,0.000413722,0.000413722
16,1758.27,0.88535,0.54832,0.9255,0.81251,0.76598,0.81333,0.57381,0.90006,0.56446,0.9566,0.000388345,0.000388345,0.000388345
17,1867.73,0.8735,0.54232,0.92105,0.81906,0.77859,0.82123,0.58071,0.88118,0.5455,0.94962,0.000362968,0.000362968,0.000362968
18,1977.23,0.86742,0.53482,0.91888,0.80012,0.75561,0.81915,0.58652,0.88089,0.54616,0.9483,0.000337591,0.000337591,0.000337591
19,2086.57,0.85609,0.52966,0.91632,0.82464,0.77277,0.82777,0.59792,0.86722,0.5307,0.9446,0.000312214,0.000312214,0.000312214
20,2195.83,0.83821,0.51485,0.91013,0.78511,0.79535,0.82345,0.60634,0.85558,0.52969,0.93978,0.000286837,0.000286837,0.000286837
21,2327.43,0.83556,0.50243,0.90394,0.80634,0.79851,0.8391,0.59602,0.87694,0.53661,0.94436,0.00026146,0.00026146,0.00026146
22,2435.27,0.82276,0.4941,0.89979,0.8487,0.76839,0.83959,0.60149,0.86264,0.52755,0.94109,0.000236083,0.000236083,0.000236083
23,2542.82,0.81277,0.48609,0.89871,0.81732,0.78869,0.83922,0.60483,0.86569,0.52641,0.94183,0.000210706,0.000210706,0.000210706
24,2650.42,0.80055,0.47957,0.89434,0.80613,0.78892,0.83113,0.60643,0.85445,0.51744,0.93858,0.000185329,0.000185329,0.000185329
25,2758.55,0.78578,0.46929,0.88921,0.84537,0.79204,0.84164,0.61583,0.84909,0.51284,0.93567,0.000159952,0.000159952,0.000159952
26,2866.5,0.77284,0.46151,0.88504,0.79852,0.8135,0.83838,0.61976,0.83465,0.50455,0.93286,0.000134575,0.000134575,0.000134575
27,2974.28,0.76394,0.45612,0.88191,0.8445,0.8077,0.84714,0.62139,0.83405,0.50252,0.93294,0.000109198,0.000109198,0.000109198
28,3082.36,0.75278,0.44814,0.87966,0.83327,0.80196,0.84293,0.62325,0.83173,0.50375,0.93018,8.3821e-05,8.3821e-05,8.3821e-05
29,3190.26,0.74352,0.44314,0.87742,0.8546,0.79149,0.84432,0.62899,0.82435,0.49364,0.92898,5.8444e-05,5.8444e-05,5.8444e-05
30,3298.08,0.73438,0.43847,0.87309,0.85184,0.7968,0.84656,0.63175,0.82211,0.49325,0.92801,3.3067e-05,3.3067e-05,3.3067e-05
